t, days	M, rad	E, rad	Phi, rad	
162	1.48165	1.57504	1.66855
163	1.4908	1.58418	1.67765
164	1.49994	1.59331	1.68672
165	1.50909	1.60244	1.69578
166	1.51823	1.61155	1.70483
167	1.52738	1.62066	1.71386
168	1.53653	1.62976	1.72287
169	1.54567	1.63885	1.73187
170	1.55482	1.64793	1.74085
171	1.56396	1.65701	1.74982
172	1.57311	1.66608	1.75877
173	1.58226	1.67514	1.76771
174	1.5914	1.6842	1.77664
175	1.60055	1.69324	1.78555
176	1.60969	1.70228	1.79444
177	1.61884	1.71131	1.80332
178	1.62799	1.72034	1.81219
179	1.63713	1.72935	1.82104
180	1.64628	1.73836	1.82987
181	1.65542	1.74737	1.83869
182	1.66457	1.75636	1.8475
183	1.67372	1.76535	1.85629
184	1.68286	1.77433	1.86507
185	1.69201	1.7833	1.87384
186	1.70115	1.79227	1.88259
187	1.7103	1.80123	1.89133
188	1.71945	1.81018	1.90005
189	1.72859	1.81912	1.90876
190	1.73774	1.82806	1.91745
191	1.74688	1.83699	1.92613
192	1.75603	1.84591	1.9348
193	1.76518	1.85483	1.94346
194	1.77432	1.86374	1.9521
195	1.78347	1.87264	1.96072
196	1.79261	1.88154	1.96934
197	1.80176	1.89042	1.97794
198	1.81091	1.89931	1.98653
199	1.82005	1.90818	1.9951
200	1.8292	1.91705	2.00366
201	1.83834	1.92591	2.01221
202	1.84749	1.93477	2.02075
203	1.85664	1.94361	2.02927
204	1.86578	1.95246	2.03778
205	1.87493	1.96129	2.04628
206	1.88407	1.97012	2.05476
207	1.89322	1.97894	2.06324
208	1.90237	1.98776	2.0717
209	1.91151	1.99657	2.08014
210	1.92066	2.00537	2.08858
211	1.9298	2.01417	2.097
212	1.93895	2.02296	2.10542
213	1.9481	2.03174	2.11382
214	1.95724	2.04052	2.1222
215	1.96639	2.04929	2.13058
216	1.97553	2.05806	2.13895
217	1.98468	2.06682	2.1473
218	1.99383	2.07557	2.15564
219	2.00297	2.08432	2.16397
220	2.01212	2.09306	2.17229
221	2.02126	2.1018	2.1806
222	2.03041	2.11053	2.18889
223	2.03956	2.11925	2.19718
224	2.0487	2.12797	2.20545
225	2.05785	2.13668	2.21372
226	2.06699	2.14539	2.22197
227	2.07614	2.15409	2.23021
228	2.08529	2.16279	2.23845
229	2.09443	2.17148	2.24667
230	2.10358	2.18016	2.25488
231	2.11272	2.18884	2.26308
232	2.12187	2.19751	2.27127
233	2.13102	2.20618	2.27945
234	2.14016	2.21485	2.28762
235	2.14931	2.2235	2.29578
236	2.15845	2.23216	2.30393
237	2.1676	2.2408	2.31207
238	2.17675	2.24945	2.3202
239	2.18589	2.25808	2.32832
240	2.19504	2.26671	2.33643
241	2.20418	2.27534	2.34453
242	2.21333	2.28396	2.35262
243	2.22248	2.29258	2.3607
244	2.23162	2.30119	2.36878
245	2.24077	2.3098	2.37684
246	2.24991	2.3184	2.3849
247	2.25906	2.327	2.39294
248	2.26821	2.33559	2.40098
249	2.27735	2.34418	2.40901
250	2.2865	2.35276	2.41703
251	2.29564	2.36134	2.42504
252	2.30479	2.36992	2.43305
253	2.31394	2.37849	2.44104
254	2.32308	2.38705	2.44903
255	2.33223	2.39561	2.45701
256	2.34137	2.40417	2.46498
257	2.35052	2.41272	2.47294
258	2.35967	2.42127	2.4809
259	2.36881	2.42981	2.48884
260	2.37796	2.43835	2.49678
261	2.3871	2.44689	2.50471
262	2.39625	2.45542	2.51264
263	2.4054	2.46395	2.52055
264	2.41454	2.47247	2.52846
265	2.42369	2.48099	2.53636
266	2.43283	2.48951	2.54426
267	2.44198	2.49802	2.55215
268	2.45113	2.50653	2.56003
269	2.46027	2.51503	2.5679
270	2.46942	2.52353	2.57577
271	2.47856	2.53203	2.58363
272	2.48771	2.54053	2.59148
273	2.49686	2.54902	2.59933
274	2.506	2.5575	2.60717
275	2.51515	2.56599	2.615
276	2.52429	2.57447	2.62283
277	2.53344	2.58294	2.63065
278	2.54259	2.59142	2.63847
279	2.55173	2.59989	2.64628
280	2.56088	2.60835	2.65408
281	2.57002	2.61682	2.66188
282	2.57917	2.62528	2.66967
283	2.58832	2.63373	2.67746
284	2.59746	2.64219	2.68524
285	2.60661	2.65064	2.69301
286	2.61575	2.65909	2.70078
287	2.6249	2.66753	2.70855
288	2.63405	2.67598	2.71631
289	2.64319	2.68442	2.72406
290	2.65234	2.69285	2.73181
291	2.66148	2.70129	2.73956
292	2.67063	2.70972	2.7473
293	2.67978	2.71815	2.75503
294	2.68892	2.72658	2.76276
295	2.69807	2.735	2.77049
296	2.70721	2.74342	2.77821
297	2.71636	2.75184	2.78593
298	2.72551	2.76026	2.79364
299	2.73465	2.76868	2.80135
300	2.7438	2.77709	2.80906
301	2.75294	2.7855	2.81676
302	2.76209	2.79391	2.82445
303	2.77124	2.80232	2.83215
